want 1134 MSA files (0 already present)
archive 107.2 GB, 48 workers
  [m44] + 5vz5_a.npz (1013 KB)
  [m14] + 4g8g_c.npz (1 KB)
  [m7] + 6gb6_a.npz (980 KB)
  [m14] + 3vxs_e.npz (1 KB)
  [m45] + 1zt1_c.npz (1 KB)
  [m15] + 7ndt_c.npz (1 KB)
  [m43] + 3am8_e.npz (1 KB)
  [m46] + 3ft4_c.npz (1 KB)
  [m8] + 5iue_a.npz (987 KB)
  [m12] + 2ol3_e.npz (1 KB)
  [m5] + 5txs_a.npz (1071 KB)
  [m40] + 7lfj_a.npz (876 KB)
  [m45] + 1cg9_a.npz (996 KB)
  [m28] + 3gsw_c.npz (1 KB)
  [m42] + 6p2s_c.npz (1 KB)
  [m43] + 4qru_c.npz (1 KB)
  [m38] + 4hwz_a.npz (962 KB)
  [m28] + 7ow5_c.npz (1 KB)
  [m8] + 3qq3_c.npz (1 KB)
  [m2] + 1sys_c.npz (1 KB)
  [m20] + 7ejm_b.npz (253 KB)
  [m7] + 5v5l_a.npz (987 KB)
  [m3] + 6pag_a.npz (987 KB)
  [m27] + 7nui_c.npz (1 KB)
  [m41] + 1wbz_a.npz (979 KB)
  [m3] + 7ejl_c.npz (1 KB)
  [m37] + 2d31_a.npz (948 KB)
  [m11] + 7p3e_c.npz (1 KB)
  [m10] + 7n1b_c.npz (1 KB)
  [m17] + 7pb2_a.npz (1001 KB)
  [m35] + 2xpg_a.npz (1002 KB)
  [m27] + 1t1z_c.npz (1 KB)
  [m19] + 4u1s_a.npz (950 KB)
  [m6] + 2ve6_a.npz (970 KB)
  [m0] + 6iwg_c.npz (1 KB)
  [m17] + 4huv_c.npz (1 KB)
  [m26] + 7xqu_c.npz (1 KB)
  [m21] + 7nmf_a.npz (986 KB)
  [m5] + 6opd_c.npz (1 KB)
  [m14] + 6jtn_a.npz (1034 KB)
  [m16] + 5vuf_c.npz (1 KB)
  [m10] + 6w51_b.npz (259 KB)
  [m10] + 3bew_c.npz (1 KB)
  [m40] + 1t1x_c.npz (1 KB)
  [m12] + 3rwh_c.npz (1 KB)
  [m16] + 6d2b_c.npz (1 KB)
  [m27] + 7eu2_c.npz (1 KB)
  [m45] + 5m02_b.npz (259 KB)
  [m37] + 3tfk_b.npz (1 KB)
  [m1] + 6a6h_a.npz (1027 KB)
  [m18] + 1tmc_a.npz (608 KB)
  [m23] + 6lhf_a.npz (1015 KB)
  [m25] + 1zt7_a.npz (988 KB)
  [m1] + 6ei2_a.npz (967 KB)
  [m8] + 7r7y_c.npz (1 KB)
  [m33] + 2bsr_a.npz (989 KB)
  [m6] + 8dnt_d.npz (984 KB)
  [m0] + 4pgd_c.npz (1 KB)
  [m44] + 6amt_c.npz (1 KB)
  [m41] + 1i7t_c.npz (1 KB)
  [m12] + 7u21_c.npz (1 KB)
